name,id,location,type,typecode,pname,cityname,adname,address,pcode,citycode,adcode
老人头,B0139028NT,"116.207849,40.828770",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
凤凰岭,B000A7ZZTY,"116.452241,40.865149",地名地址信息;自然地名;山,190203,北京市,北京市,怀柔区,怀柔区,110000,010,110116
头道沟,B013902JWF,"116.171878,40.776404",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大有沟,B0139028NB,"116.235046,40.810192",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
车道沟,B000A82XT4,"116.292126,40.689022",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
板场山,B000A865I7,"116.241792,40.787788",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
二道梁,B013902JLK,"116.178418,40.759503",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东梁尖,B013901DWH,"116.196472,40.786880",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
黑筒山,B0139028NN,"116.222116,40.785643",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大石窑村,B000A8000Z,"116.236280,40.727527",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
油房沟,B01390287T,"116.233486,40.836536",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河南,B0139028OZ,"116.342487,40.792244",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
菜树梁,B013902JWC,"116.200378,40.811697",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
石片沟,B0139028NZ,"116.243334,40.796854",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东沟,B013902JWE,"116.196620,40.834368",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
万泉寺村,B0139028O5,"116.178392,40.809168",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
西沟,B013902JLO,"116.166489,40.776701",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
水头村(公交站),BV10712208,"116.268997,40.748811",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y36路,110000,010,110119
东沟,B013902JLJ,"116.155784,40.808952",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
围场,B013902BXQ,"116.197980,40.961086",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东卯镇,B01390P8ET,"116.268261,40.840348",地名地址信息;普通地名;乡镇级地名,190106,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小西沟,B013902JWG,"116.180532,40.833253",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大西沟,B013902JWD,"116.174552,40.833261",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
车道沟村,B01390PMIL,"116.173505,40.781098",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
红娘沟,B000A80011,"116.224971,40.749842",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
大石窑(公交站),BV10002338,"116.237066,40.726953",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路,110000,010,110119
刘家沟,B013902JL8,"116.218660,40.857791",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
石门沟,B013902JWK,"116.278977,40.782384",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
红石沟,B000A80012,"116.238863,40.737462",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
东青羊沟村,B0139028NF,"116.226947,40.816163",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
九亩地沟,B0139028NR,"116.199846,40.778198",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大石窑村口(公交站),BV11430824,"116.241541,40.723446",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路,110000,010,110119
水头村,B000A8002D,"116.271030,40.747001",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
半沟村(公交站),BV10712206,"116.268333,40.727530",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y36路,110000,010,110119
东青羊沟,B0HK1ODT2O,"116.224046,40.816504",地名地址信息;普通地名;村组级地名,190109,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河西,B0139028LQ,"116.113268,40.756490",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河北,B01390238K,"116.384765,40.788529",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
营四路山,B0G2MNTIFX,"116.229653,40.770128",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
黄地沟,B013902JLL,"116.240450,40.810157",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
艾河滩,B0139028N2,"116.180785,40.774236",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
山楂小院,B0FFH0U6Y3,"116.286745,40.566458",住宿服务;宾馆酒店;宾馆酒店,100100,北京市,北京市,延庆区,刘斌堡乡下虎叫村,110000,010,110119
西沟门村,B000A8002G,"116.360785,40.751213",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
瓦窑,B013902JLW,"116.261407,40.836575",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
延庆张家湾(公交站),BV10012586,"116.248482,40.711411",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路,110000,010,110119
069乡道与087乡道交叉口,B0FFLL6Q0R,"116.193476,40.816186",地名地址信息;交通地名;路口名,190302,河北省,张家口市,赤城县,赤城县,130000,0313,130732
庙子沟,B0139028P9,"116.273860,40.788040",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
狗洞沟,B000AA5GE5,"116.227955,40.745158",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
古路沟,B013902BYQ,"116.192389,40.839089",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大尖山,B000A8002S,"116.394881,40.733652",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
庙沟,B013902JV0,"116.286177,40.863724",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
杨树沟,B0139028PX,"116.289108,40.777222",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
缸厂,B0139028NI,"116.173516,40.784044",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大北沟,B01390285C,"116.128069,40.851504",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
北沟里,B0139028N3,"116.166766,40.825383",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
二道沟,B013902JW6,"116.123415,40.834515",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
下缸房,B0139028OA,"116.193030,40.816348",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
水头沟,B000A8034K,"116.260088,40.767866",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
熊洞沟(公交站),BV10012402,"116.252813,40.705530",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路,110000,010,110119
闫地沟,B0139028OG,"116.185331,40.770247",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
平顶山,B000A865I6,"116.455881,40.980964",地名地址信息;自然地名;山,190203,北京市,北京市,怀柔区,怀柔区,110000,010,110116
东边,B000A0B532,"116.194394,40.666171",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
大石片沟,B0139028N8,"116.246228,40.809641",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大南沟,B013902JL6,"116.236678,40.859776",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小石片沟,B0139028OE,"116.235682,40.813177",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大地,B013902J6S,"116.285451,40.849780",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
北沟外,B0139028N4,"116.174390,40.816714",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
红旗甸北(公交站),BV11060729,"116.269806,40.705547",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y36路,110000,010,110119
东青羊沟村民委员会,B0HK1ODT2G,"116.225750,40.815200",政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,河北省,张家口市,赤城县,,130000,0313,130732
牤牛沟(公交站),BV10712341,"116.342552,40.762089",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y38路,110000,010,110119
南沟,B013902JWJ,"116.261730,40.830333",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东梁,B0FFFR6NF3,"116.176406,40.780950",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
下栅子村,B000A7ZZUF,"116.388675,40.878052",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,怀柔区,怀柔区,110000,010,110116
营四路山,B000A865I8,"116.238339,40.772791",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
王家,B01390287I,"116.241053,40.867559",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
龙王庙(暂停营业),B000A87Z2J,"116.459376,40.703563",风景名胜;风景名胜;寺庙道观,110205,北京市,北京市,延庆区,千家店镇沙梁子乡四潭沟村西,110000,010,110119
红旗甸(公交站),BV10012403,"116.274970,40.700673",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y36路,110000,010,110119
黑山,B000A8001V,"116.312214,40.744332",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
四道沟,B013902JW9,"116.124515,40.821837",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
西店,B000A82XT6,"116.341241,40.693487",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
老沟掌,B0139028NS,"116.256112,40.819432",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
黑河,B0FFGXCET0,"116.213473,40.885044",地名地址信息;自然地名;河流,190204,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小川,B000A82XSY,"116.181849,40.681263",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
王庄子,B0139028MP,"116.050722,40.813882",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
沟门村,B01390288E,"116.284447,40.840752",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
三道沟,B013902JW8,"116.124733,40.828188",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小堡村,B000A800T7,"116.141502,40.574466",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
苇子沟,B013902JUT,"116.219290,40.861486",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
南苇子沟,B0139028NU,"116.236522,40.825636",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
下碌碡湾,B0139028OB,"116.197121,40.821400",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大窑(公交站),BV10011087,"116.260628,40.687115",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y36路;Y38路,110000,010,110119
碾子沟,B000A800BI,"116.219884,40.661338",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
下营,B013902893,"116.276028,40.842950",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
后沟,B000A82XT5,"116.338733,40.709227",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
六道河(公交站),BV10011088,"116.267616,40.683617",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y36路;Y38路,110000,010,110119
延庆车道沟西(公交站),BV11060730,"116.280968,40.687855",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y36路,110000,010,110119
大石墙,B0139028N9,"116.177622,40.774618",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
西梁,B0FFFQFMO0,"116.253307,40.800589",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
延庆西沟门(公交站),BV10712345,"116.360825,40.750858",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y38路,110000,010,110119
西梁,B0HK1ODEFV,"116.193193,40.778310",地名地址信息;普通地名;村组级地名,190109,河北省,张家口市,赤城县,赤城县,130000,0313,130732
了坡沟,B000A800CE,"116.454189,40.662910",地名地址信息;自然地名;山,190203,北京市,北京市,延庆区,延庆区,110000,010,110119
河口,B01390286W,"116.181264,40.905256",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
延庆车道沟(公交站),BV10712207,"116.292170,40.687595",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y36路,110000,010,110119
千家店镇,B000A8VK1U,"116.346835,40.693859",地名地址信息;普通地名;乡镇级地名,190106,北京市,北京市,延庆区,延庆区,110000,010,110119
百里山水画廊-朝阳寺,B0FFH8BH5S,"116.33413,40.69416",风景名胜;风景名胜;寺庙道观,110205,北京市,北京市,延庆区,东囤路北200米百里山水画廊-千家店朝阳寺附近,110000,010,110119
河东,B013902392,"116.149270,40.671748",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
张家窑,B013902JL4,"116.072132,40.887991",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大沟门村,B0139027SW,"116.298451,40.940099",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
百里山水画廊乌龙峡谷(暂停营业),B000A87Z8B,"116.458729,40.69802",风景名胜;风景名胜;省级景点,110203,北京市,北京市,延庆区,千沙公路附近,110000,010,110119
罗家湾,B0139027S2,"116.199007,40.932449",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
沟里,B0139028OX,"116.288505,40.818501",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
头道沟,B013902J6W,"116.301772,40.835326",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大户岭路口(公交站),BV11184259,"116.367737,40.737339",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
千家店水泉沟(公交站),BV10712346,"116.373303,40.746502",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
大石窑,B000A7ZZWL,"116.464031,40.825218",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,怀柔区,怀柔区,110000,010,110116
南区,B013902C2O,"116.054220,40.773456",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东台,B0HKALNX4V,"116.225875,40.734974",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
069乡道与076乡道交叉口,B0FFGGO94Z,"116.168638,40.796435",地名地址信息;交通地名;路口名,190302,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小户岭(公交站),BV11556335,"116.360742,40.724384",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
东边村(公交站),BV11060985,"116.191931,40.662127",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y27路,110000,010,110119
小户岭(公交站),BV10012602,"116.361412,40.724152",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
白河,B000A864AC,"116.288302,40.659316",地名地址信息;自然地名;河流,190204,北京市,北京市,延庆区,延庆区,110000,010,110119
横岭,B0139028NO,"116.137799,40.825798",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
鹿叫(公交站),BV10012600,"116.378815,40.746639",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
庙沟,B013902J80,"116.027489,40.802151",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
干沟村(公交站),BV11060986,"116.248420,40.662921",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y27路,110000,010,110119
大边村,B013902JM2,"116.150648,40.743719",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
杨家窑,B013902JLD,"116.159848,40.879656",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河南,B013A02NQG,"116.428266,40.905838",地名地址信息;普通地名;村庄级地名,190108,河北省,承德市,丰宁满族自治县,丰宁满族自治县,130000,0314,130826
秀水湾(公交站),BV10703630,"116.273163,40.665352",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y36路;Y38路,110000,010,110119
苇子沟村,B01390287K,"116.221625,40.861490",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
花盆村西(公交站),BV11265792,"116.388247,40.754110",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
鹿叫村东(公交站),BV11265791,"116.386642,40.749561",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
干沟(公交站),BV10003455,"116.248672,40.658772",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y27路;Y32路;Y36路;Y38路,110000,010,110119
朝阳寺(公交站),BV10344460,"116.334379,40.691415",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
小户岭新村(公交站),BV11060721,"116.363312,40.714634",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
排子岭(公交站),BV11184256,"116.331177,40.688084",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
河口新村(公交站),BV10012406,"116.295851,40.670252",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y36路,110000,010,110119
万泉寺村民委员会,B0HK1OFQXL,"116.178078,40.806946",政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,河北省,张家口市,赤城县,,130000,0313,130732
碴底下(公交站),BV10011093,"116.327156,40.685146",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
半沟村,B000A8001E,"116.267666,40.728421",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
白河管理处(公交站),BV10436563,"116.186341,40.655243",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y27路,110000,010,110119
延庆西店(公交站),BV11173271,"116.339218,40.692566",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
旧县中心小学,B000A85W0B,"116.099864,40.554134",科教文化服务;学校;小学,141203,北京市,北京市,延庆区,旧县镇旧县村,110000,010,110119
红石湾(公交站),BV10011092,"116.322418,40.681076",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
水仓,B0139028MG,"116.088417,40.753022",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
狐仙洞,B0FFJIVP2K,"116.322283,40.830266",风景名胜;风景名胜相关;旅游景点,110000,河北省,张家口市,赤城县,白四线,130000,0313,130732
延庆东店村北(公交站),BV11184255,"116.350914,40.699108",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
河口村,B000A800BT,"116.296139,40.668268",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
延庆东店(公交站),BV10712344,"116.351562,40.699383",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y38路,110000,010,110119
河东(公交站),BV10011089,"116.278390,40.661753",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y36路;Y38路,110000,010,110119
花盆(公交站),BV10012599,"116.395660,40.757736",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
千家店卫生院(公交站),BV10011095,"116.343582,40.692329",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
四道沟,B013902JLU,"116.330195,40.807252",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
千家店(公交站),BV10011096,"116.348763,40.695076",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y32路;Y38路,110000,010,110119
千家店镇政府(公交站),BV11626109,"116.346532,40.693234",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y13路;Y38路,110000,010,110119
碓臼沟,B0139028OT,"116.305580,40.797927",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大古坟沟(公交站),BV10012603,"116.359077,40.703094",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路;Y38路,110000,010,110119
红旗甸河,B0FFJ2SQFZ,"116.253599,40.712317",地名地址信息;自然地名;河流,190204,北京市,北京市,延庆区,延庆区,110000,010,110119
河口新村路口(公交站),BV11184258,"116.297935,40.665653",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y38路,110000,010,110119
小南沟,B013902JUU,"116.194518,40.868721",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
三岔口,B000A82XSH,"116.370723,40.903826",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,怀柔区,怀柔区,110000,010,110116
虎叫村,B0139028NP,"116.145717,40.811599",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河口(公交站),BV10011090,"116.294937,40.663502",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y11路;Y12路;Y13路;Y32路;Y36路;Y38路,110000,010,110119
扁担沟,B0139028OM,"116.266852,40.792359",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
孤嘴,B0139028NK,"116.236880,40.815941",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
河西,B000A82XU2,"116.270640,40.663127",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
花盆沟口(公交站),BV11632851,"116.400859,40.758937",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y12路,110000,010,110119
河南(公交站),BV10011097,"116.352713,40.694475",交通设施服务;公交车站;公交车站相关,150700,北京市,北京市,延庆区,Y13路,110000,010,110119
南尹家沟村,B0139028NV,"116.145102,40.780375",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
